Smic18682 SmicGene18682	ko04012 ErbB signaling pathway;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04620 Toll-like receptor signaling pathway;ko04660 T cell receptor signaling pathway;ko04664 Fc epsilon RI signaling pathway;ko04010 MAPK signaling pathway
Smic41506 SmicGene41506	ko00965 Betalain biosynthesis;ko00380 Tryptophan metabolism;ko00901 Indole alkaloid biosynthesis;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism;ko00950 Isoquinoline alkaloid biosynthesis;ko00360 Phenylalanine metabolism
Smic15350 SmicGene15350	ko05200 Pathways in cancer;ko05211 Renal cell carcinoma
Smic29837 SmicGene29837	ko05014 Amyotrophic lateral sclerosis (ALS)
Smic14356 SmicGene14356	ko02010 ABC transporters
Smic30739 SmicGene30739	ko00910 Nitrogen metabolism
Smic9877 SmicGene9877	ko04115 p53 signaling pathway
Smic25616 SmicGene25616	ko04622 RIG-I-like receptor signaling pathway
Smic37010 SmicGene37010	ko00195 Photosynthesis
Smic19915 SmicGene19915	ko05016 Huntington's disease
Smic6957 SmicGene6957	ko04115 p53 signaling pathway;ko04114 Oocyte meiosis;ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04540 Gap junction
Smic31456 SmicGene31456	ko00500 Starch and sucrose metabolism
Smic44920 SmicGene44920	ko00230 Purine metabolism;ko03430 Mismatch repair;ko03030 DNA replication;ko03440 Homologous recombination;ko00240 Pyrimidine metabolism
Smic20822 SmicGene20822	ko03010 Ribosome
Smic32713 SmicGene32713	ko00051 Fructose and mannose metabolism;ko00363 Bisphenol A degradation;ko00625 Tetrachloroethene degradation;ko00591 Linoleic acid metabolism;ko00650 Butanoate metabolism
Smic20041 SmicGene20041	ko00500 Starch and sucrose metabolism
Smic12699 SmicGene12699	ko05016 Huntington's disease
Smic39907 SmicGene39907	ko00520 Amino sugar and nucleotide sugar metabolism
Smic13378 SmicGene13378	ko04612 Antigen processing and presentation
Smic16228 SmicGene16228	ko03040 Spliceosome
Smic12396 SmicGene12396	ko03040 Spliceosome
Smic30381 SmicGene30381	ko04626 Plant-pathogen interaction
Smic36 SmicGene36	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko04146 Peroxisome;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00480 Glutathione metabolism;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic19743 SmicGene19743	ko03040 Spliceosome;ko05322 Systemic lupus erythematosus
Smic19909 SmicGene19909	ko05110 Vibrio cholerae infection;ko03060 Protein export
Smic38985 SmicGene38985	ko05416 Viral myocarditis;ko04530 Tight junction
Smic32688 SmicGene32688	ko03010 Ribosome
Smic20040 SmicGene20040	ko00500 Starch and sucrose metabolism
Smic37688 SmicGene37688	ko00230 Purine metabolism
Smic8528 SmicGene8528	ko04144 Endocytosis
Smic17718.t1 SmicGene17718	ko04113 Meiosis - yeast
Smic10831 SmicGene10831	ko05016 Huntington's disease;ko04142 Lysosome;ko04144 Endocytosis
Smic26705 SmicGene26705	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
Smic27518 SmicGene27518	ko00740 Riboflavin metabolism
Smic35013 SmicGene35013	ko03040 Spliceosome
Smic37740 SmicGene37740	ko00500 Starch and sucrose metabolism
Smic33289 SmicGene33289	ko03040 Spliceosome
Smic3661 SmicGene3661	ko04120 Ubiquitin mediated proteolysis
Smic27540 SmicGene27540	ko00190 Oxidative phosphorylation
Smic3953 SmicGene3953	ko00310 Lysine degradation;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic37486 SmicGene37486	ko00500 Starch and sucrose metabolism
Smic23126 SmicGene23126	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00010 Glycolysis / Gluconeogenesis;ko05010 Alzheimer's disease;ko01061 Biosynthesis of phenylpropanoids;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic35697 SmicGene35697	ko04020 Calcium signaling pathway
Smic7594 SmicGene7594	ko03010 Ribosome
Smic34488 SmicGene34488	ko00510 N-Glycan biosynthesis
Smic40068 SmicGene40068	ko00970 Aminoacyl-tRNA biosynthesis
Smic30157 SmicGene30157	ko00360 Phenylalanine metabolism
Smic20095 SmicGene20095	ko00600 Sphingolipid metabolism;ko04142 Lysosome
Smic16959 SmicGene16959	ko03010 Ribosome
Smic23527 SmicGene23527	ko04722 Neurotrophin signaling pathway
Smic27837 SmicGene27837	ko00680 Methane metabolism
Smic35799 SmicGene35799	ko03010 Ribosome
Smic25548 SmicGene25548	ko00051 Fructose and mannose metabolism;ko00363 Bisphenol A degradation;ko00625 Tetrachloroethene degradation;ko00591 Linoleic acid metabolism;ko00650 Butanoate metabolism
Smic38536 SmicGene38536	ko00512 O-Glycan biosynthesis
Smic32382 SmicGene32382	ko03430 Mismatch repair;ko03030 DNA replication;ko03420 Nucleotide excision repair
Smic24030 SmicGene24030	ko05416 Viral myocarditis
Smic902 SmicGene902	ko00061 Fatty acid biosynthesis
Smic7063 SmicGene7063	ko04070 Phosphatidylinositol signaling system;ko00562 Inositol phosphate metabolism;ko00521 Streptomycin biosynthesis
Smic22382 SmicGene22382	ko00730 Thiamine metabolism
Smic40825 SmicGene40825	ko00270 Cysteine and methionine metabolism;ko00450 Selenoamino acid metabolism
Smic42040 SmicGene42040	ko04626 Plant-pathogen interaction
