Spis15356 SpisGene15356	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis4385 SpisGene4385	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
Spis10859 SpisGene10859	ko04080 Neuroactive ligand-receptor interaction
Spis22846 SpisGene22846	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis17485 SpisGene17485	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis598 SpisGene598	ko04512 ECM-receptor interaction;ko05200 Pathways in cancer;ko04510 Focal adhesion;ko05222 Small cell lung cancer
Spis8909 SpisGene8909	ko05200 Pathways in cancer;ko04810 Regulation of actin cytoskeleton;ko05218 Melanoma;ko04010 MAPK signaling pathway
Spis8732 SpisGene8732	ko03450 Non-homologous end-joining
Spis22437 SpisGene22437	ko04621 NOD-like receptor signaling pathway
Spis9265 SpisGene9265	ko04530 Tight junction
Spis5125 SpisGene5125	ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis16082 SpisGene16082	ko00380 Tryptophan metabolism;ko00643 Styrene degradation;ko00910 Nitrogen metabolism;ko00632 Benzoate degradation via CoA ligation;ko00460 Cyanoamino acid metabolism
Spis6653 SpisGene6653	ko00561 Glycerolipid metabolism
Spis1279.t2 SpisGene1279	ko00260 Glycine, serine and threonine metabolism
Spis16176 SpisGene16176	ko04070 Phosphatidylinositol signaling system;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04916 Melanogenesis;ko04020 Calcium signaling pathway;ko04626 Plant-pathogen interaction;ko04270 Vascular smooth muscle contraction;ko04114 Oocyte meiosis;ko05010 Alzheimer's disease;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko05214 Glioma;ko04910 Insulin signaling pathway
Spis5833 SpisGene5833	ko00600 Sphingolipid metabolism
Spis13423 SpisGene13423	ko04360 Axon guidance
Spis20495 SpisGene20495	ko03018 RNA degradation
Spis18070 SpisGene18070	ko05016 Huntington's disease
Spis872 SpisGene872	ko04020 Calcium signaling pathway;ko05016 Huntington's disease;ko05012 Parkinson's disease
Spis6102 SpisGene6102	ko04350 TGF-beta signaling pathway
Spis23144 SpisGene23144	ko04320 Dorso-ventral axis formation;ko04330 Notch signaling pathway
Spis17049 SpisGene17049	ko01040 Biosynthesis of unsaturated fatty acids
Spis14798 SpisGene14798	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis2734 SpisGene2734	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis6267 SpisGene6267	ko04621 NOD-like receptor signaling pathway
Spis12338 SpisGene12338	ko03010 Ribosome
Spis15438 SpisGene15438	ko04010 MAPK signaling pathway
Spis5005 SpisGene5005	ko00280 Valine, leucine and isoleucine degradation
Spis24370 SpisGene24370	ko04142 Lysosome
Spis18173 SpisGene18173	ko03040 Spliceosome
Spis16362 SpisGene16362	ko05200 Pathways in cancer;ko05219 Bladder cancer;ko05223 Non-small cell lung cancer
Spis3200 SpisGene3200	ko00130 Ubiquinone and other terpenoid-quinone biosynthesis
Spis21613 SpisGene21613	ko00830 Retinol metabolism
Spis15374 SpisGene15374	ko04610 Complement and coagulation cascades
Spis3525 SpisGene3525	ko04142 Lysosome
Spis22784 SpisGene22784	ko03018 RNA degradation
Spis2622 SpisGene2622	ko03040 Spliceosome
Spis19400 SpisGene19400	ko04020 Calcium signaling pathway
Spis10632 SpisGene10632	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis16468 SpisGene16468	ko00330 Arginine and proline metabolism
Spis10805 SpisGene10805	ko04080 Neuroactive ligand-receptor interaction;ko04916 Melanogenesis
Spis22206 SpisGene22206	ko00260 Glycine, serine and threonine metabolism;ko00410 beta-Alanine metabolism;ko00350 Tyrosine metabolism;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00950 Isoquinoline alkaloid biosynthesis;ko00960 Tropane, piperidine and pyridine alkaloid biosynthesis;ko00360 Phenylalanine metabolism
Spis2793 SpisGene2793	ko00051 Fructose and mannose metabolism;ko00740 Riboflavin metabolism;ko00730 Thiamine metabolism
Spis12362 SpisGene12362	ko04514 Cell adhesion molecules (CAMs)
Spis24203 SpisGene24203	ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00770 Pantothenate and CoA biosynthesis;ko00290 Valine, leucine and isoleucine biosynthesis
Spis18995 SpisGene18995	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis14909 SpisGene14909	ko04115 p53 signaling pathway;ko04114 Oocyte meiosis;ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04540 Gap junction
Spis25490 SpisGene25490	ko00190 Oxidative phosphorylation
Spis17935 SpisGene17935	ko04020 Calcium signaling pathway
Spis6840 SpisGene6840	ko03430 Mismatch repair;ko03030 DNA replication;ko03440 Homologous recombination;ko03420 Nucleotide excision repair
Spis14293 SpisGene14293	ko04514 Cell adhesion molecules (CAMs)
Spis13338 SpisGene13338	ko00270 Cysteine and methionine metabolism;ko00430 Taurine and hypotaurine metabolism
Spis22284 SpisGene22284	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis11842.t1 SpisGene11842	ko00970 Aminoacyl-tRNA biosynthesis
Spis12685 SpisGene12685	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis20784 SpisGene20784	ko00511 Other glycan degradation;ko00052 Galactose metabolism;ko00600 Sphingolipid metabolism
Spis2616 SpisGene2616	ko04670 Leukocyte transendothelial migration
Spis21585 SpisGene21585	ko04620 Toll-like receptor signaling pathway
Spis2339 SpisGene2339	ko04146 Peroxisome
Spis9683 SpisGene9683	ko04144 Endocytosis
Spis20010 SpisGene20010	ko04621 NOD-like receptor signaling pathway
Spis18707 SpisGene18707	ko03018 RNA degradation
Spis11931 SpisGene11931	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis7522 SpisGene7522	ko03430 Mismatch repair
Spis2019 SpisGene2019	ko04610 Complement and coagulation cascades
Spis4345.t1 SpisGene4345	ko00230 Purine metabolism;ko04113 Meiosis - yeast
Spis13790 SpisGene13790	ko00982 Drug metabolism - cytochrome P450
Spis16036 SpisGene16036	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko00630 Glyoxylate and dicarboxylate metabolism;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Spis3860 SpisGene3860	ko04080 Neuroactive ligand-receptor interaction
Spis13830 SpisGene13830	ko04530 Tight junction;ko04010 MAPK signaling pathway
Spis22703 SpisGene22703	ko00970 Aminoacyl-tRNA biosynthesis
Spis20793 SpisGene20793	ko04621 NOD-like receptor signaling pathway
Spis1294 SpisGene1294	ko04514 Cell adhesion molecules (CAMs)
Spis2037 SpisGene2037	ko00510 N-Glycan biosynthesis
Spis11371 SpisGene11371	ko00670 One carbon pool by folate;ko00680 Methane metabolism
Spis25222 SpisGene25222	ko00650 Butanoate metabolism
Spis14902 SpisGene14902	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis10105 SpisGene10105	ko00680 Methane metabolism
Spis2544 SpisGene2544	ko00564 Glycerophospholipid metabolism;ko00565 Ether lipid metabolism;ko00561 Glycerolipid metabolism;ko00600 Sphingolipid metabolism;ko04666 Fc gamma R-mediated phagocytosis
Spis16493 SpisGene16493	ko03010 Ribosome
Spis2660 SpisGene2660	ko04742 Taste transduction
Spis5690 SpisGene5690	ko00592 alpha-Linolenic acid metabolism;ko04912 GnRH signaling pathway;ko00565 Ether lipid metabolism;ko04370 VEGF signaling pathway;ko00564 Glycerophospholipid metabolism;ko00590 Arachidonic acid metabolism;ko04270 Vascular smooth muscle contraction;ko04730 Long-term depression;ko00591 Linoleic acid metabolism;ko04664 Fc epsilon RI signaling pathway;ko04010 MAPK signaling pathway
Spis2305 SpisGene2305	ko05012 Parkinson's disease;ko04120 Ubiquitin mediated proteolysis
Spis18858 SpisGene18858	ko04514 Cell adhesion molecules (CAMs)
Spis13475 SpisGene13475	ko00340 Histidine metabolism
Spis17260 SpisGene17260	ko05200 Pathways in cancer;ko04810 Regulation of actin cytoskeleton;ko05218 Melanoma;ko04010 MAPK signaling pathway
Spis6018 SpisGene6018	ko03040 Spliceosome
Spis17112 SpisGene17112	ko04740 Olfactory transduction
Spis12480 SpisGene12480	ko02010 ABC transporters
Spis16263 SpisGene16263	ko04910 Insulin signaling pathway
Spis6605 SpisGene6605	ko05010 Alzheimer's disease
Spis20570 SpisGene20570	ko04360 Axon guidance
Spis13690 SpisGene13690	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
Spis14468 SpisGene14468	ko02010 ABC transporters
Spis14222 SpisGene14222	ko03040 Spliceosome
Spis18926 SpisGene18926	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis23652 SpisGene23652	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis5967 SpisGene5967	ko00450 Selenoamino acid metabolism
Spis8142 SpisGene8142	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
Spis15982 SpisGene15982	ko04950 Maturity onset diabetes of the young
Spis24746 SpisGene24746	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma
Spis11619 SpisGene11619	ko04340 Hedgehog signaling pathway
Spis9451 SpisGene9451	ko00520 Amino sugar and nucleotide sugar metabolism
Spis25645 SpisGene25645	ko03018 RNA degradation;ko04940 Type I diabetes mellitus
Spis7869 SpisGene7869	ko00965 Betalain biosynthesis;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko04916 Melanogenesis;ko00740 Riboflavin metabolism;ko00350 Tyrosine metabolism;ko00950 Isoquinoline alkaloid biosynthesis
Spis3933 SpisGene3933	ko04650 Natural killer cell mediated cytotoxicity;ko04020 Calcium signaling pathway;ko04370 VEGF signaling pathway;ko04540 Gap junction;ko04666 Fc gamma R-mediated phagocytosis;ko04960 Aldosterone-regulated sodium reabsorption;ko04270 Vascular smooth muscle contraction;ko05200 Pathways in cancer;ko04730 Long-term depression;ko04720 Long-term potentiation;ko04011 MAPK signaling pathway - yeast;ko04530 Tight junction;ko05214 Glioma;ko05223 Non-small cell lung cancer;ko04070 Phosphatidylinositol signaling system;ko04670 Leukocyte transendothelial migration;ko04916 Melanogenesis;ko04012 ErbB signaling pathway;ko04510 Focal adhesion;ko05110 Vibrio cholerae infection;ko04310 Wnt signaling pathway;ko04010 MAPK signaling pathway
Spis8487 SpisGene8487	ko04622 RIG-I-like receptor signaling pathway
Spis5790 SpisGene5790	ko03410 Base excision repair
Spis579 SpisGene579	ko05200 Pathways in cancer;ko05219 Bladder cancer
Spis17087 SpisGene17087	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
Spis24424 SpisGene24424	ko04622 RIG-I-like receptor signaling pathway
Spis4019 SpisGene4019	ko04080 Neuroactive ligand-receptor interaction
Spis9640.t1 SpisGene9640	ko00564 Glycerophospholipid metabolism;ko00561 Glycerolipid metabolism
Spis1105 SpisGene1105	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis16206 SpisGene16206	ko00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
Spis1216 SpisGene1216	ko04610 Complement and coagulation cascades
Spis4182 SpisGene4182	ko05110 Vibrio cholerae infection
Spis25252 SpisGene25252	ko02040 Flagellar assembly
Spis18438 SpisGene18438	ko04621 NOD-like receptor signaling pathway
Spis8966 SpisGene8966	ko04270 Vascular smooth muscle contraction;ko04530 Tight junction
Spis177 SpisGene177	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko04623 Cytosolic DNA-sensing pathway;ko03020 RNA polymerase
Spis15936 SpisGene15936	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis3244 SpisGene3244	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis9414 SpisGene9414	ko04110 Cell cycle;ko04113 Meiosis - yeast;ko04111 Cell cycle - yeast
Spis304 SpisGene304	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
Spis584 SpisGene584	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko04146 Peroxisome;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00480 Glutathione metabolism;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Spis13644 SpisGene13644	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis3178 SpisGene3178	ko04070 Phosphatidylinositol signaling system;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04916 Melanogenesis;ko04020 Calcium signaling pathway;ko04626 Plant-pathogen interaction;ko04270 Vascular smooth muscle contraction;ko04114 Oocyte meiosis;ko05010 Alzheimer's disease;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko05214 Glioma;ko04910 Insulin signaling pathway
Spis11216 SpisGene11216	ko00140 Steroid hormone biosynthesis
Spis20273 SpisGene20273	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis15875 SpisGene15875	ko00770 Pantothenate and CoA biosynthesis
Spis6203.t1 SpisGene6203	ko04144 Endocytosis
Spis19915 SpisGene19915	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis21368 SpisGene21368	ko04610 Complement and coagulation cascades
Spis25469 SpisGene25469	ko00730 Thiamine metabolism
Spis18712 SpisGene18712	ko04110 Cell cycle;ko05212 Pancreatic cancer;ko05200 Pathways in cancer;ko05220 Chronic myeloid leukemia;ko05210 Colorectal cancer;ko04350 TGF-beta signaling pathway;ko04520 Adherens junction;ko04310 Wnt signaling pathway
Spis110 SpisGene110	ko00603 Glycosphingolipid biosynthesis - globo series
Spis17999 SpisGene17999	ko03022 Basal transcription factors
Spis14388 SpisGene14388	ko04144 Endocytosis
Spis25517 SpisGene25517	ko04530 Tight junction;ko04010 MAPK signaling pathway
Spis18510 SpisGene18510	ko00520 Amino sugar and nucleotide sugar metabolism
Spis6186 SpisGene6186	ko04113 Meiosis - yeast
Spis16929 SpisGene16929	ko00500 Starch and sucrose metabolism;ko00052 Galactose metabolism
Spis17433 SpisGene17433	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
Spis25693 SpisGene25693	ko00970 Aminoacyl-tRNA biosynthesis
Spis8516 SpisGene8516	ko00565 Ether lipid metabolism
Spis9487 SpisGene9487	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis21379.t1 SpisGene21379	ko04920 Adipocytokine signaling pathway
Spis22658 SpisGene22658	ko04111 Cell cycle - yeast
Spis24010 SpisGene24010	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis15161 SpisGene15161	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
Spis5801 SpisGene5801	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis14652 SpisGene14652	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis21361 SpisGene21361	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis19862 SpisGene19862	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis23868 SpisGene23868	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis1373 SpisGene1373	ko04520 Adherens junction;ko04666 Fc gamma R-mediated phagocytosis
Spis13913 SpisGene13913	ko04062 Chemokine signaling pathway;ko04670 Leukocyte transendothelial migration;ko04666 Fc gamma R-mediated phagocytosis
Spis3708 SpisGene3708	ko04666 Fc gamma R-mediated phagocytosis
Spis23016 SpisGene23016	ko04514 Cell adhesion molecules (CAMs)
Spis6520 SpisGene6520	ko04920 Adipocytokine signaling pathway;ko05410 Hypertrophic cardiomyopathy (HCM);ko04910 Insulin signaling pathway
Spis20820 SpisGene20820	ko04146 Peroxisome
Spis20981 SpisGene20981	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis6481 SpisGene6481	ko04360 Axon guidance
Spis22094 SpisGene22094	ko00592 alpha-Linolenic acid metabolism;ko04912 GnRH signaling pathway;ko00565 Ether lipid metabolism;ko04370 VEGF signaling pathway;ko00564 Glycerophospholipid metabolism;ko00590 Arachidonic acid metabolism;ko04270 Vascular smooth muscle contraction;ko04730 Long-term depression;ko00591 Linoleic acid metabolism;ko04664 Fc epsilon RI signaling pathway;ko04010 MAPK signaling pathway
Spis4549 SpisGene4549	ko00270 Cysteine and methionine metabolism;ko01070 Biosynthesis of plant hormones
Spis12815 SpisGene12815	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism;ko04730 Long-term depression;ko04540 Gap junction
Spis24019 SpisGene24019	ko04360 Axon guidance
Spis22003 SpisGene22003	ko00510 N-Glycan biosynthesis
Spis17165 SpisGene17165	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis16864 SpisGene16864	ko00531 Glycosaminoglycan degradation;ko00500 Starch and sucrose metabolism;ko00983 Drug metabolism - other enzymes;ko00040 Pentose and glucuronate interconversions;ko00860 Porphyrin and chlorophyll metabolism;ko04142 Lysosome;ko00944 Flavone and flavonol biosynthesis
Spis10170 SpisGene10170	ko03018 RNA degradation
Spis10626 SpisGene10626	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis20440 SpisGene20440	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis20358 SpisGene20358	ko00140 Steroid hormone biosynthesis
Spis16642 SpisGene16642	ko05200 Pathways in cancer;ko04810 Regulation of actin cytoskeleton;ko05218 Melanoma;ko04010 MAPK signaling pathway
Spis19502 SpisGene19502	ko04621 NOD-like receptor signaling pathway;ko05120 Epithelial cell signaling in Helicobacter pylori infection
Spis21033 SpisGene21033	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis15211 SpisGene15211	ko00270 Cysteine and methionine metabolism;ko00450 Selenoamino acid metabolism;ko01070 Biosynthesis of plant hormones;ko00920 Sulfur metabolism
Spis20476 SpisGene20476	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
Spis6573 SpisGene6573	ko05414 Dilated cardiomyopathy;ko05410 Hypertrophic cardiomyopathy (HCM);ko05416 Viral myocarditis;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Spis3833 SpisGene3833	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis5113 SpisGene5113	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis3680 SpisGene3680	ko04612 Antigen processing and presentation;ko04142 Lysosome
Spis14648.t1 SpisGene14648	ko03430 Mismatch repair;ko03030 DNA replication;ko03440 Homologous recombination;ko03420 Nucleotide excision repair
Spis6588 SpisGene6588	ko04080 Neuroactive ligand-receptor interaction
Spis23236 SpisGene23236	ko03022 Basal transcription factors
Spis21041 SpisGene21041	ko04514 Cell adhesion molecules (CAMs)
Spis10606 SpisGene10606	ko04146 Peroxisome;ko00630 Glyoxylate and dicarboxylate metabolism
Spis24.t1 SpisGene24	ko04621 NOD-like receptor signaling pathway
Spis12626 SpisGene12626	ko00620 Pyruvate metabolism
Spis10690.t1 SpisGene10690	ko04360 Axon guidance;ko04810 Regulation of actin cytoskeleton;ko04666 Fc gamma R-mediated phagocytosis
Spis1340 SpisGene1340	ko03040 Spliceosome
Spis13944 SpisGene13944	ko00250 Alanine, aspartate and glutamate metabolism;ko00910 Nitrogen metabolism
Spis25670 SpisGene25670	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00290 Valine, leucine and isoleucine biosynthesis;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00010 Glycolysis / Gluconeogenesis;ko01061 Biosynthesis of phenylpropanoids;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00620 Pyruvate metabolism;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide;ko00650 Butanoate metabolism
Spis16121 SpisGene16121	ko03010 Ribosome
Spis24377 SpisGene24377	ko04622 RIG-I-like receptor signaling pathway
Spis9914 SpisGene9914	ko04510 Focal adhesion;ko04810 Regulation of actin cytoskeleton;ko05322 Systemic lupus erythematosus;ko04670 Leukocyte transendothelial migration;ko04530 Tight junction;ko04520 Adherens junction;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Spis14203 SpisGene14203	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis15755 SpisGene15755	ko00051 Fructose and mannose metabolism;ko00520 Amino sugar and nucleotide sugar metabolism
Spis12559 SpisGene12559	ko00564 Glycerophospholipid metabolism
Spis13231.t2 SpisGene13231	ko04320 Dorso-ventral axis formation;ko04330 Notch signaling pathway
Spis24484 SpisGene24484	ko04514 Cell adhesion molecules (CAMs)
Spis7365 SpisGene7365	ko04320 Dorso-ventral axis formation
Spis17300 SpisGene17300	ko05200 Pathways in cancer;ko04920 Adipocytokine signaling pathway;ko05222 Small cell lung cancer;ko04622 RIG-I-like receptor signaling pathway;ko04210 Apoptosis;ko04010 MAPK signaling pathway
Spis17246 SpisGene17246	ko04310 Wnt signaling pathway
Spis4702.t1 SpisGene4702	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
Spis3534 SpisGene3534	ko03040 Spliceosome
Spis12912 SpisGene12912	ko00830 Retinol metabolism
Spis9105 SpisGene9105	ko04020 Calcium signaling pathway;ko05016 Huntington's disease;ko05012 Parkinson's disease
