AIPGENE23512	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04916 Melanogenesis;ko04310 Wnt signaling pathway
AIPGENE25147	ko03040 Spliceosome
AIPGENE24213	ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04622 RIG-I-like receptor signaling pathway;ko04010 MAPK signaling pathway;ko04120 Ubiquitin mediated proteolysis
AIPGENE10537	ko04810 Regulation of actin cytoskeleton;ko04650 Natural killer cell mediated cytotoxicity;ko04062 Chemokine signaling pathway;ko04666 Fc gamma R-mediated phagocytosis;ko05120 Epithelial cell signaling in Helicobacter pylori infection;ko04012 ErbB signaling pathway;ko04510 Focal adhesion;ko04360 Axon guidance;ko05211 Renal cell carcinoma;ko04011 MAPK signaling pathway - yeast;ko04660 T cell receptor signaling pathway;ko04010 MAPK signaling pathway
AIPGENE24980	ko04621 NOD-like receptor signaling pathway
AIPGENE388	ko05200 Pathways in cancer;ko04150 mTOR signaling pathway;ko05211 Renal cell carcinoma
AIPGENE3742	ko04514 Cell adhesion molecules (CAMs)
AIPGENE2294	ko04722 Neurotrophin signaling pathway;ko04810 Regulation of actin cytoskeleton;ko04650 Natural killer cell mediated cytotoxicity;ko04930 Type II diabetes mellitus;ko04666 Fc gamma R-mediated phagocytosis;ko05212 Pancreatic cancer;ko05200 Pathways in cancer;ko04620 Toll-like receptor signaling pathway;ko04914 Progesterone-mediated oocyte maturation;ko05210 Colorectal cancer;ko05220 Chronic myeloid leukemia;ko05214 Glioma;ko05223 Non-small cell lung cancer;ko04670 Leukocyte transendothelial migration;ko04062 Chemokine signaling pathway;ko04510 Focal adhesion;ko05222 Small cell lung cancer;ko04210 Apoptosis;ko04630 Jak-STAT signaling pathway;ko04370 VEGF signaling pathway;ko04960 Aldosterone-regulated sodium reabsorption;ko05215 Prostate cancer;ko05211 Renal cell carcinoma;ko05218 Melanoma;ko04660 T cell receptor signaling pathway;ko04664 Fc epsilon RI signaling pathway;ko04070 Phosphatidylinositol signaling system;ko05213 Endometrial cancer;ko04662 B cell receptor signaling pathway;ko05221 Acute myeloid leukemia;ko04012 ErbB signaling pathway;ko04150 mTOR signaling pathway;ko04910 Insulin signaling pathway
AIPGENE26968	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
AIPGENE6780	ko04144 Endocytosis
AIPGENE9256	ko04612 Antigen processing and presentation
AIPGENE25320	ko00830 Retinol metabolism;ko00500 Starch and sucrose metabolism;ko00983 Drug metabolism - other enzymes;ko00053 Ascorbate and aldarate metabolism;ko00040 Pentose and glucuronate interconversions;ko00860 Porphyrin and chlorophyll metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00982 Drug metabolism - cytochrome P450;ko00140 Steroid hormone biosynthesis
AIPGENE5824	ko04114 Oocyte meiosis;ko04110 Cell cycle;ko04350 TGF-beta signaling pathway;ko04310 Wnt signaling pathway;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
AIPGENE14887	ko05200 Pathways in cancer;ko05222 Small cell lung cancer;ko04620 Toll-like receptor signaling pathway;ko04622 RIG-I-like receptor signaling pathway
AIPGENE16555	ko04530 Tight junction
AIPGENE10265	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
AIPGENE28413	ko00770 Pantothenate and CoA biosynthesis
AIPGENE21695	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism
AIPGENE2162	ko04621 NOD-like receptor signaling pathway
AIPGENE16772	ko03450 Non-homologous end-joining
AIPGENE2133	ko04013 MAPK signaling pathway - fly
AIPGENE12769	ko00600 Sphingolipid metabolism;ko04020 Calcium signaling pathway;ko04370 VEGF signaling pathway;ko04666 Fc gamma R-mediated phagocytosis
AIPGENE25849	ko00310 Lysine degradation;ko00900 Terpenoid backbone biosynthesis;ko00071 Fatty acid metabolism;ko02020 Two-component system;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00072 Synthesis and degradation of ketone bodies;ko00632 Benzoate degradation via CoA ligation;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
AIPGENE5201	ko04810 Regulation of actin cytoskeleton;ko05130 Pathogenic Escherichia coli infection;ko04666 Fc gamma R-mediated phagocytosis
AIPGENE19203	ko00760 Nicotinate and nicotinamide metabolism
AIPGENE21328	ko00310 Lysine degradation;ko00631 1,2-Dichloroethane degradation;ko00561 Glycerolipid metabolism;ko00053 Ascorbate and aldarate metabolism;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00641 3-Chloroacrylic acid degradation;ko00010 Glycolysis / Gluconeogenesis;ko00330 Arginine and proline metabolism;ko00410 beta-Alanine metabolism;ko00340 Histidine metabolism;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
AIPGENE19549	ko04610 Complement and coagulation cascades
AIPGENE7450	ko03050 Proteasome
AIPGENE4201	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE631	ko00630 Glyoxylate and dicarboxylate metabolism
AIPGENE15461	ko00510 N-Glycan biosynthesis
AIPGENE26577	ko00790 Folate biosynthesis;ko00361 gamma-Hexachlorocyclohexane degradation;ko02020 Two-component system
AIPGENE13222	ko04810 Regulation of actin cytoskeleton
AIPGENE11722	ko05016 Huntington's disease
AIPGENE13700	ko00592 alpha-Linolenic acid metabolism;ko04912 GnRH signaling pathway;ko00565 Ether lipid metabolism;ko04370 VEGF signaling pathway;ko00564 Glycerophospholipid metabolism;ko00590 Arachidonic acid metabolism;ko04270 Vascular smooth muscle contraction;ko04730 Long-term depression;ko00591 Linoleic acid metabolism;ko04664 Fc epsilon RI signaling pathway;ko04010 MAPK signaling pathway
AIPGENE6514	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
AIPGENE21847	ko04070 Phosphatidylinositol signaling system;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04916 Melanogenesis;ko04020 Calcium signaling pathway;ko04626 Plant-pathogen interaction;ko04270 Vascular smooth muscle contraction;ko04114 Oocyte meiosis;ko05010 Alzheimer's disease;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko05214 Glioma;ko04910 Insulin signaling pathway
AIPGENE13732	ko04260 Cardiac muscle contraction;ko05414 Dilated cardiomyopathy;ko05410 Hypertrophic cardiomyopathy (HCM);ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC);ko04010 MAPK signaling pathway
AIPGENE27423	ko04144 Endocytosis
AIPGENE10680	ko03040 Spliceosome
AIPGENE14480	ko04144 Endocytosis
AIPGENE17842	ko00904 Diterpenoid biosynthesis
AIPGENE23453	ko04144 Endocytosis
AIPGENE20369	ko03050 Proteasome
AIPGENE24491	ko04144 Endocytosis
AIPGENE7094	ko04710 Circadian rhythm - mammal
AIPGENE8292	ko00230 Purine metabolism
AIPGENE16110	ko04620 Toll-like receptor signaling pathway
AIPGENE9498	ko03022 Basal transcription factors
AIPGENE9287	ko02010 ABC transporters
AIPGENE12561	ko04623 Cytosolic DNA-sensing pathway;ko04622 RIG-I-like receptor signaling pathway
AIPGENE26929	ko04114 Oocyte meiosis;ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle
AIPGENE9142	ko05410 Hypertrophic cardiomyopathy (HCM);ko04810 Regulation of actin cytoskeleton;ko05416 Viral myocarditis;ko04670 Leukocyte transendothelial migration;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC);ko04510 Focal adhesion;ko05414 Dilated cardiomyopathy;ko04530 Tight junction;ko05130 Pathogenic Escherichia coli infection;ko04520 Adherens junction;ko05110 Vibrio cholerae infection
AIPGENE25989	ko00903 Limonene and pinene degradation;ko00626 Naphthalene and anthracene degradation;ko00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis;ko00361 gamma-Hexachlorocyclohexane degradation
AIPGENE2286	ko04510 Focal adhesion;ko04810 Regulation of actin cytoskeleton;ko05322 Systemic lupus erythematosus;ko04670 Leukocyte transendothelial migration;ko04530 Tight junction;ko04520 Adherens junction;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
AIPGENE20995	ko00500 Starch and sucrose metabolism
AIPGENE15672	ko00100 Steroid biosynthesis;ko01070 Biosynthesis of plant hormones;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
AIPGENE26771	ko04514 Cell adhesion molecules (CAMs);ko04520 Adherens junction;ko04910 Insulin signaling pathway
AIPGENE27953	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
AIPGENE2129	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04350 TGF-beta signaling pathway
AIPGENE5259	ko00480 Glutathione metabolism;ko04640 Hematopoietic cell lineage;ko04614 Renin-angiotensin system
AIPGENE9015	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism
AIPGENE1166	ko00860 Porphyrin and chlorophyll metabolism
AIPGENE6155	ko04512 ECM-receptor interaction;ko04510 Focal adhesion;ko04610 Complement and coagulation cascades
AIPGENE22285	ko04080 Neuroactive ligand-receptor interaction
AIPGENE2859	ko03040 Spliceosome
AIPGENE20736	ko04610 Complement and coagulation cascades
AIPGENE2452	ko04630 Jak-STAT signaling pathway;ko05200 Pathways in cancer;ko05222 Small cell lung cancer;ko04120 Ubiquitin mediated proteolysis
AIPGENE730	ko00330 Arginine and proline metabolism
AIPGENE25420	ko04120 Ubiquitin mediated proteolysis
AIPGENE14873	ko05414 Dilated cardiomyopathy;ko05410 Hypertrophic cardiomyopathy (HCM)
AIPGENE22384	ko04621 NOD-like receptor signaling pathway
AIPGENE27226	ko00361 gamma-Hexachlorocyclohexane degradation
AIPGENE28014	ko00500 Starch and sucrose metabolism
AIPGENE11062	ko03018 RNA degradation
AIPGENE18121	ko04722 Neurotrophin signaling pathway;ko04142 Lysosome
AIPGENE18047	ko04912 GnRH signaling pathway;ko04540 Gap junction;ko04010 MAPK signaling pathway
AIPGENE13828	ko04146 Peroxisome;ko04920 Adipocytokine signaling pathway;ko03320 PPAR signaling pathway;ko00071 Fatty acid metabolism
AIPGENE20862	ko05010 Alzheimer's disease;ko04330 Notch signaling pathway
AIPGENE1419	ko00500 Starch and sucrose metabolism
AIPGENE25496	ko00230 Purine metabolism
AIPGENE9227	ko03440 Homologous recombination
AIPGENE3199	ko04621 NOD-like receptor signaling pathway;ko05200 Pathways in cancer;ko04612 Antigen processing and presentation;ko05215 Prostate cancer;ko04914 Progesterone-mediated oocyte maturation;ko04626 Plant-pathogen interaction
AIPGENE6789	ko04144 Endocytosis
AIPGENE9125	ko04270 Vascular smooth muscle contraction;ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
AIPGENE11501	ko00564 Glycerophospholipid metabolism
AIPGENE25708	ko04310 Wnt signaling pathway
AIPGENE15235	ko04144 Endocytosis
AIPGENE6415	ko04142 Lysosome
AIPGENE15733	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
AIPGENE26702	ko00830 Retinol metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00983 Drug metabolism - other enzymes;ko00982 Drug metabolism - cytochrome P450;ko00591 Linoleic acid metabolism;ko00361 gamma-Hexachlorocyclohexane degradation;ko00140 Steroid hormone biosynthesis
AIPGENE9519	ko04742 Taste transduction
AIPGENE8646	ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis;ko00360 Phenylalanine metabolism
AIPGENE1946	ko04114 Oocyte meiosis;ko04914 Progesterone-mediated oocyte maturation;ko04810 Regulation of actin cytoskeleton;ko04010 MAPK signaling pathway
AIPGENE25994	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE26862	ko04530 Tight junction;ko04144 Endocytosis
AIPGENE7800	ko00480 Glutathione metabolism
AIPGENE1516	ko04512 ECM-receptor interaction;ko05200 Pathways in cancer;ko04510 Focal adhesion;ko05222 Small cell lung cancer
AIPGENE7296	ko00240 Pyrimidine metabolism
AIPGENE16116	ko00903 Limonene and pinene degradation;ko00626 Naphthalene and anthracene degradation;ko00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis;ko00361 gamma-Hexachlorocyclohexane degradation
AIPGENE4033	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
AIPGENE12417	ko04080 Neuroactive ligand-receptor interaction
AIPGENE14644	ko04530 Tight junction;ko04010 MAPK signaling pathway
AIPGENE14057	ko02010 ABC transporters;ko04142 Lysosome
AIPGENE13245	ko05200 Pathways in cancer;ko04110 Cell cycle;ko05220 Chronic myeloid leukemia;ko05016 Huntington's disease;ko04330 Notch signaling pathway
AIPGENE16685	ko00565 Ether lipid metabolism
AIPGENE11668	ko04623 Cytosolic DNA-sensing pathway
AIPGENE8971	ko04012 ErbB signaling pathway;ko04660 T cell receptor signaling pathway;ko05130 Pathogenic Escherichia coli infection
AIPGENE14710	ko00523 Polyketide sugar unit biosynthesis;ko00521 Streptomycin biosynthesis
AIPGENE14910	ko04512 ECM-receptor interaction
AIPGENE11661	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
AIPGENE22628	ko00750 Vitamin B6 metabolism
AIPGENE12901	ko03010 Ribosome
AIPGENE10391	ko03018 RNA degradation
AIPGENE15528	ko00860 Porphyrin and chlorophyll metabolism
AIPGENE19900	ko04722 Neurotrophin signaling pathway;ko04142 Lysosome
AIPGENE25392	ko03050 Proteasome
AIPGENE853	ko04360 Axon guidance
AIPGENE7308	ko04512 ECM-receptor interaction
AIPGENE25623	ko03040 Spliceosome
AIPGENE17009	ko00980 Metabolism of xenobiotics by cytochrome P450;ko00480 Glutathione metabolism;ko00982 Drug metabolism - cytochrome P450
AIPGENE28898	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
AIPGENE27576	ko04722 Neurotrophin signaling pathway;ko04540 Gap junction;ko04010 MAPK signaling pathway
AIPGENE23672	ko05016 Huntington's disease
AIPGENE766	ko04920 Adipocytokine signaling pathway
AIPGENE18016	ko04144 Endocytosis
AIPGENE11368	ko05110 Vibrio cholerae infection
AIPGENE12869	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE16522	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko03020 RNA polymerase
AIPGENE22579	ko04722 Neurotrophin signaling pathway
AIPGENE15647	ko04612 Antigen processing and presentation;ko05340 Primary immunodeficiency
AIPGENE6310	ko04950 Maturity onset diabetes of the young;ko04330 Notch signaling pathway
AIPGENE6200	ko00590 Arachidonic acid metabolism
AIPGENE1116	ko00520 Amino sugar and nucleotide sugar metabolism
AIPGENE11655	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
AIPGENE14207	ko04810 Regulation of actin cytoskeleton
AIPGENE25808	ko03040 Spliceosome
AIPGENE13656	ko04020 Calcium signaling pathway;ko05016 Huntington's disease;ko05012 Parkinson's disease
AIPGENE13879	ko03010 Ribosome
AIPGENE26763	ko00250 Alanine, aspartate and glutamate metabolism;ko00910 Nitrogen metabolism;ko00330 Arginine and proline metabolism;ko02020 Two-component system
AIPGENE12927	ko03018 RNA degradation
AIPGENE26224	ko04310 Wnt signaling pathway
AIPGENE28530	ko03010 Ribosome
AIPGENE20441	ko04626 Plant-pathogen interaction
AIPGENE655	ko03018 RNA degradation
AIPGENE525	ko00500 Starch and sucrose metabolism
AIPGENE16263	ko05012 Parkinson's disease;ko04120 Ubiquitin mediated proteolysis
AIPGENE18474	ko00290 Valine, leucine and isoleucine biosynthesis
AIPGENE14087	ko04510 Focal adhesion;ko04810 Regulation of actin cytoskeleton;ko04062 Chemokine signaling pathway;ko04670 Leukocyte transendothelial migration;ko04370 VEGF signaling pathway
AIPGENE25973	ko05320 Autoimmune thyroid disease;ko04080 Neuroactive ligand-receptor interaction
AIPGENE14386	ko00330 Arginine and proline metabolism
AIPGENE7275	ko05200 Pathways in cancer;ko05215 Prostate cancer;ko04910 Insulin signaling pathway
AIPGENE3360	ko00680 Methane metabolism
AIPGENE4774	ko05322 Systemic lupus erythematosus
AIPGENE284	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04916 Melanogenesis;ko04310 Wnt signaling pathway
AIPGENE19527	ko00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
AIPGENE25223	ko04360 Axon guidance
AIPGENE21668	ko04514 Cell adhesion molecules (CAMs)
AIPGENE13695	ko04110 Cell cycle;ko03450 Non-homologous end-joining
AIPGENE65	ko04610 Complement and coagulation cascades
AIPGENE1703	ko03070 Bacterial secretion system;ko03060 Protein export
AIPGENE8887	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism
AIPGENE13289	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE6976	ko04010 MAPK signaling pathway
AIPGENE24168	ko04062 Chemokine signaling pathway;ko04916 Melanogenesis;ko04670 Leukocyte transendothelial migration;ko04540 Gap junction;ko04360 Axon guidance;ko04914 Progesterone-mediated oocyte maturation;ko04730 Long-term depression;ko04530 Tight junction
AIPGENE22688	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
AIPGENE452	ko04530 Tight junction;ko04111 Cell cycle - yeast
AIPGENE6006	ko04070 Phosphatidylinositol signaling system;ko04115 p53 signaling pathway;ko05213 Endometrial cancer;ko00562 Inositol phosphate metabolism;ko05215 Prostate cancer;ko04510 Focal adhesion;ko05200 Pathways in cancer;ko05222 Small cell lung cancer;ko04530 Tight junction;ko05218 Melanoma;ko05214 Glioma
AIPGENE28474	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
AIPGENE16346	ko00590 Arachidonic acid metabolism
AIPGENE28199	ko00520 Amino sugar and nucleotide sugar metabolism
AIPGENE23959	ko00260 Glycine, serine and threonine metabolism
AIPGENE19120	ko00330 Arginine and proline metabolism
AIPGENE7895	ko03018 RNA degradation
AIPGENE25174	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
AIPGENE20364	ko04722 Neurotrophin signaling pathway;ko04810 Regulation of actin cytoskeleton;ko04650 Natural killer cell mediated cytotoxicity;ko04930 Type II diabetes mellitus;ko04666 Fc gamma R-mediated phagocytosis;ko05212 Pancreatic cancer;ko05200 Pathways in cancer;ko04620 Toll-like receptor signaling pathway;ko04914 Progesterone-mediated oocyte maturation;ko05210 Colorectal cancer;ko05220 Chronic myeloid leukemia;ko05214 Glioma;ko05223 Non-small cell lung cancer;ko04670 Leukocyte transendothelial migration;ko04062 Chemokine signaling pathway;ko04510 Focal adhesion;ko05222 Small cell lung cancer;ko04210 Apoptosis;ko04630 Jak-STAT signaling pathway;ko04370 VEGF signaling pathway;ko04960 Aldosterone-regulated sodium reabsorption;ko05215 Prostate cancer;ko05211 Renal cell carcinoma;ko05218 Melanoma;ko04660 T cell receptor signaling pathway;ko04664 Fc epsilon RI signaling pathway;ko04070 Phosphatidylinositol signaling system;ko05213 Endometrial cancer;ko04662 B cell receptor signaling pathway;ko05221 Acute myeloid leukemia;ko04012 ErbB signaling pathway;ko04150 mTOR signaling pathway;ko04910 Insulin signaling pathway
AIPGENE5756	ko04080 Neuroactive ligand-receptor interaction;ko04062 Chemokine signaling pathway;ko04530 Tight junction;ko04144 Endocytosis;ko04520 Adherens junction
AIPGENE21414	ko04010 MAPK signaling pathway
AIPGENE11237	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
AIPGENE13679	ko04330 Notch signaling pathway
AIPGENE4547	ko03018 RNA degradation
AIPGENE2051	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE27737	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
AIPGENE10897	ko05200 Pathways in cancer;ko03430 Mismatch repair;ko05210 Colorectal cancer
AIPGENE10490	ko04270 Vascular smooth muscle contraction;ko04360 Axon guidance
AIPGENE1290	ko05200 Pathways in cancer;ko05222 Small cell lung cancer
AIPGENE12447	ko05016 Huntington's disease
AIPGENE23234	ko04115 p53 signaling pathway;ko04722 Neurotrophin signaling pathway
AIPGENE20820	ko04610 Complement and coagulation cascades
AIPGENE14669	ko04310 Wnt signaling pathway
AIPGENE2218	ko02010 ABC transporters
AIPGENE15521	ko00100 Steroid biosynthesis;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
AIPGENE620	ko04360 Axon guidance
AIPGENE10201	ko04920 Adipocytokine signaling pathway;ko03320 PPAR signaling pathway;ko00071 Fatty acid metabolism
AIPGENE14856	ko00790 Folate biosynthesis;ko00361 gamma-Hexachlorocyclohexane degradation;ko02020 Two-component system
AIPGENE14902	ko00670 One carbon pool by folate;ko00680 Methane metabolism
AIPGENE28777	ko03018 RNA degradation
AIPGENE21642	ko04950 Maturity onset diabetes of the young
AIPGENE2871	ko00051 Fructose and mannose metabolism;ko00030 Pentose phosphate pathway;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00710 Carbon fixation in photosynthetic organisms;ko01070 Biosynthesis of plant hormones;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00010 Glycolysis / Gluconeogenesis;ko01061 Biosynthesis of phenylpropanoids;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
AIPGENE13000	ko00280 Valine, leucine and isoleucine degradation;ko00640 Propanoate metabolism
AIPGENE5331	ko04080 Neuroactive ligand-receptor interaction
AIPGENE5302	ko00910 Nitrogen metabolism
AIPGENE11885	ko03018 RNA degradation
AIPGENE14164	ko05010 Alzheimer's disease
AIPGENE4154	ko04270 Vascular smooth muscle contraction;ko04510 Focal adhesion;ko04810 Regulation of actin cytoskeleton;ko04720 Long-term potentiation
AIPGENE11181	ko04666 Fc gamma R-mediated phagocytosis
